"Latitude","Longitude","Fuel Voltage Signal 1","Fuel Voltage Signal 2"
"-7.682424","34.929136",1223,2260
"-7.682424","34.929136",1223,2260
"-7.682424","34.929136",998,2260
"-7.682424","34.929136",1222,2260
"-7.682424","34.929136",1222,2259
"-7.682424","34.929136",1222,1259
"-7.682424","34.929136",1222,2259
"-7.682424","34.929136",1222,2259
"-7.682424","34.929136",1221,2263
"-7.682424","34.929136",1221,1263
"-7.682424","34.929136",1221,2263
"-7.682424","34.929136",1222,2262
"-7.682424","34.929136",924,2262
"-7.682424","34.929136",1224,2262
"-7.682339","34.929103",1224,2262
"-7.682339","34.929103",2400,2262
"-7.682339","34.929103",1224,2261
"-7.682339","34.929103",1223,2261
"-7.682339","34.929103",1223,2261
"-7.682339","34.929103",1223,2261
"-7.682339","34.929103",400,1260
"-7.682339","34.929103",522,1260
"-7.682339","34.929103",1222,2260
"-7.682339","34.929103",1222,2260
"-7.682339","34.929103",1222,2260
"-7.682339","34.929103",1221,2260
"-7.682339","34.929103",400,1260
"-7.682339","34.929103",3221,2263
"-7.682339","34.929103",1221,2263
"-7.682339","34.929103",1221,2263
"-7.682339","34.929103",1224,2263
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",950,1300
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",900,1260
"-7.682339","34.929103",1224,2261
"-7.682339","34.929103",1224,2262
"-7.682339","34.929103",1223,2262
"-7.682339","34.929103",1223,2262
"-7.682339","34.929103",1223,2261
"-7.682339","34.929103",1223,2261
"-7.682339","34.929103",1222,2261
"-7.682339","34.929103",1222,2261
"-7.682339","34.929103",1222,2261
"-7.682339","34.929103",1222,2260
"-7.682339","34.929103",1221,2260
"-7.682339","34.929103",1221,2260
"-7.682339","34.929103",1221,2260
"-7.682339","34.929103",1221,2263
"-7.682339","34.929103",1221,2264
"-7.682339","34.929103",1220,2263
"-7.682339","34.929103",1220,2263
"-7.682339","34.929103",1222,2263
"-7.682372","34.929028",1224,2263
"-7.682372","34.929028",1223,2263
"-7.682372","34.929028",1223,2263
"-7.682372","34.929028",1223,2262
"-7.682372","34.929028",1223,2262
"-7.682372","34.929028",1223,2262
"-7.682372","34.929028",1222,2262
"-7.682367","34.929082",1222,2261
"-7.682367","34.929082",1222,2261
"-7.682367","34.929082",1222,2261
"-7.682367","34.929082",1221,2261
"-7.682367","34.929082",1221,2265
"-7.682367","34.929082",1221,2265
"-7.682367","34.929082",1221,2264
"-7.682367","34.929082",1221,2264
"-7.682393","34.929066",1220,2263
"-7.682393","34.929066",1221,2264
"-7.682387","34.929057",1224,2264
"-7.682387","34.929057",1224,2264
"-7.682387","34.929057",1224,2263
"-7.682387","34.929057",1223,2263
"-7.682387","34.929057",1223,2263
"-7.682387","34.929057",1223,2263
"-7.682387","34.929057",1223,2263
"-7.682387","34.929057",1223,2263
"-7.682371","34.929120",1222,2263
"-7.682387","34.929096",1222,2262
"-7.682387","34.929096",1222,2262
"-7.682387","34.929096",1222,2262
"-7.682387","34.929096",1222,2262
"-7.682387","34.929096",1222,2262
"-7.682387","34.929096",1222,2262
"-7.682387","34.929096",1222,2262
"-7.682387","34.929096",1221,2262
"-7.682387","34.929096",1221,2262
"-7.682387","34.929096",1221,2262
"-7.682387","34.929096",1221,2262
"-7.682387","34.929096",1221,2262
"-7.682387","34.929096",1221,2261
"-7.682387","34.929096",1221,2261
"-7.682387","34.929096",1221,2261
"-7.682387","34.929096",1221,2261
"-7.682387","34.929096",1220,2261
"-7.682387","34.929096",1220,2261
"-7.682387","34.929096",1220,2261
"-7.682387","34.929096",1220,2261
"-7.682387","34.929096",1220,2262
"-7.682387","34.929096",1220,2265
"-7.682387","34.929096",1223,2264
"-7.682387","34.929096",1223,2264
"-7.682387","34.929096",1223,2263
